Op.,WoO,Hess,Biam-onti,Title,Key,Date,Scoring,Genre,Notes,
D major,1808,vn vc pf,Chamber,,,,,,,
70/2,—,—,455/2,,,,,,,
Piano Trio,,,,,,,,,,
E♭ major,1808,vn vc pf,Chamber,,,,,,,
71,—,—,118,Sextet,E♭ major,1792-96,2cl 2bn 2hn,Chamber,,
72,—,109,423,"Fidelio (Leonore, oder Der Triumph der ehelichen Liebe), opera in 3 acts",,1804-05,vv ch orch,Stage,1st version, includes Op. 72a
72,—,110,427,"Fidelio (Leonore, oder Der Triumph der ehelichen Liebe), opera in 2 acts",,1805-06,vv ch orch,Stage,2nd version, includes Op. 72b (and WoO 2/2?)
72,—,—,570,"Fidelio, opera in 2 acts",,1814,vv ch orch,Stage,3rd version,
72a,—,—,423,Leonora Overture No.2,C major,1804-05,orch,Orchestral,"1st version of Opp. 72b,, 138 (included in 1st version of Op. 72)",
72b,—,—,427,Leonora Overture No.3,C major,1806,orch,Orchestral,"2nd version of Opp. 72a, 138 (included in 2nd version of Op. 72)",
73,—,—,499,Piano Concerto No.5 ('Emperor'),E♭ major,1808-09,pf orch,Orchestral,,
74,—,—,485,String Quartet No.10 ('Harp'),E♭ major,1809,2vn va vc,Chamber,,
75,—,—,502,Gesänge (6):,,1809,v pf,Vocal,,
75/1,—,—,502/1,,,,,,,
"Mignon (""Kennst du das Land"")",,,,,,,,,,
1809,v pf,Vocal,,,,,,,,
75/2,—,—,502/2,,,,,,,
"Neue Liebe, neues Leben (""Herz, mein Herz, was soll das geben?"")",,,,,,,,,,
1809,v pf,Vocal,2nd setting of WoO 27,,,,,,,
75/3,—,—,502/3,,,,,,,
"Aus Goethes Faust (""Es war einmal ein König"")",,,,,,,,,,
1809,v pf,Vocal,,,,,,,,
75/4,—,—,502/4,,,,,,,
"Gretels Warnung (""Mit Liebesblick und Spiel"")",,,,,,,,,,
1809,v pf,Vocal,,,,,,,,
75/5,—,—,502/5,,,,,,,
"An den fernen Geliebten (""Einst wohnten süsse Ruh'"")",,,,,,,,,,
1809,v pf,Vocal,,,,,,,,
75/6,—,—,502/6,,,,,,,
"Der Zufriedene (""Zwar schuf das Glück hienieden"")",,,,,,,,,,
1809,v pf,Vocal,,,,,,,,
76,—,—,494,Variations (6),D major,1809,pf,Keyboard,,
77,—,—,492,Fantasia,G minor,1809,pf,Keyboard,,
78,—,—,493,Piano Sonata No.24 ('A Thérèse'),F♯ major,1809,pf,Keyboard,,
79,—,—,495,Piano Sonata No.25 ('Cuckoo'),G major,1809,pf,Keyboard,,
80,—,—,486,Fantasia in C minor ('Choral Fantasia'),C minor,1808-09,ch pf orch,Vocal,,
81a,—,—,514,Piano Sonata No.26 ('Les adieux'),E♭ major,1809-10,pf,Keyboard,,
81b,—,—,72,Sextet in E-flat major,E♭ major,1795,2hn 2vn va vc,Chamber,,
82,—,—,513,Arietten und ein Duett (4):,,1809-10,v/2vv pf,Vocal,,
82/1,—,—,513/1,,,,,,,
"Hoffnung (""Dimmi, ben mio, che m'ami"")",,,,,,,,,,
1809-10,v pf,Vocal,,,,,,,,
82/2,—,—,513/2,,,,,,,
"Liebes-Klage (""T'intendo, si, mio cor"")",,,,,,,,,,
1809-10,v pf,Vocal,,,,,,,,
82/3,—,—,513/3,,,,,,,
"Che fa il mio bene? (""L'amante impatiente"")",,,,,,,,,,
1809-10,v pf,Vocal,,,,,,,,
82/4,—,—,513/4,,,,,,,
"Che fa il mio bene? (""L'amante impatiente"")",,,,,,,,,,
1809-10,v pf,Vocal,,,,,,,,
82/5,—,—,513/5,,,,,,,
"Lebensgenuß (""Odi l'aura che dolce sospira"")",,,,,,,,,,
1809-10,2vvv pf,Vocal,,,,,,,,
83,—,—,531,Gesänge (3),,1810,v pf,Vocal,,
83/1,—,—,531,,,,,,,
"Wonne der Wehmut (""Trocknet nicht, Tränen der ewigen Liebe!"")",,,,,,,,,,
1810,v pf,Vocal,,,,,,,,
83/2,—,—,531,,,,,,,
"Sensucht (""Was zieht mir das Herz so?"")",,,,,,,,,,
1810,v pf,Vocal,,,,,,,,
83/3,—,—,531,,,,,,,
"Mit einem gemalten Band (""Kleine Blumen, kleine Blätter streuen wir mit leichter Hand"")",,,,,,,,,,
1810,v pf,Vocal,,,,,,,,
84,—,—,518,Egmont,,1809-10,vv orch,Stage,,
85,—,—,363,Christus am Ölberge ('Christ on the Mount of Olives'),,1803-04,3vv ch orch,Vocal,,
86,—,—,439,Mass,C major,1807,4vvch orch,Vocal,,
87,—,—,63,Trio,C major,1794-95,2ob eh,Chamber,,
88,—,—,370,"Das Glück der Freundschaft (""Der lebt ein Leben wonniglich"")",,1803,v pf,Vocal,,
89,—,—,588,Polonaise in C major,C major,1814,pf,Keyboard,,
90,—,—,578,Piano Sonata No.27,E minor,1814,pf,Keyboard,,
91,—,—,560,Wellingtons Sieg (Wellington's Victory or 'Battle Symphony'),,1813,orch,Orchestral,,
92,—,—,544,Symphony No.7,A major,1811-12,orch,Orchestral,,
93,—,—,659,Symphony No.8,F major,1812,orch,Orchestral,,
94,—,—,611,"An die Hoffnung (""Ob ein Gott sei?"")",B♭ minor,1813-15,v pf,Vocal,2nd setting, see Op.32
